date,desc,balance
2023-10-27,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,79022.02
2023-10-19,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,40338.32
2023-10-18,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,41271.45
2023-10-16,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,42739.44
2023-10-10,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,47296.79
